image,caption,lengths,new_caption
1088767354_2acee738cf.jpg,A young woman in a red sequined costume and feather stands on the sidewalk .,15,young woman in red sequined costume and feather stands on the sidewalk .
108898978_7713be88fc.jpg,Two people wearing yellow jackets cross-country skiing .,8,two people wearing yellow jackets cross-country skiing .
108899015_bf36131a57.jpg,Two hikers climbing a snowy hill .,7,two hikers climbing snowy hill .
1089181217_ee1167f7af.jpg,Energetic brown dog running,4,energetic brown dog running .
1089755335_0bfbfd30e6.jpg,Woman with three children fishing over boardwalk in the evening .,11,woman with three children fishing over boardwalk in the evening .
109202756_b97fcdc62c.jpg,A woman in a blue jacket rides a brown pony near water .,13,woman in blue jacket rides brown pony near water .
109202801_c6381eef15.jpg,Two draft horses pull a cart through the snow .,10,two draft horses pull cart through the snow .
109260216_85b0be5378.jpg,A person rappels down a steep incline .,8,person rappels down steep incline .
109260218_fca831f933.jpg,People stand inside a rock dome .,7,people stand inside rock dome .
1093716555_801aacef79.jpg,People camp with the mountains in the background .,9,people camp with the mountains in the background .
1093737381_b313cd49ff.jpg,A woman standing in front of a chalk drawing,9,woman standing in front of chalk drawing .
1094462889_f9966dafa6.jpg,a dog runs through the snow .,7,dog runs through the snow .
1095476286_87d4f8664e.jpg,A boy jumping in a fountain .,7,boy jumping in fountain .
1095580424_76f0aa8a3e.jpg,A Corgi runs out of a tunnel .,8,corgi runs out of tunnel .
1095590286_c654f7e5a9.jpg,two dogs running around,4,two dogs running around .
1095980313_3c94799968.jpg,A little girl with arms outstretched is posing at the beach .,12,little girl with arms outstretched is posing at the beach .
1096097967_ac305887b4.jpg,A small white dog gets sprayed by water,8,small white dog gets sprayed by water .
1096165011_cc5eb16aa6.jpg,a boy smiles underwater .,5,boy smiles underwater .
1096395242_fc69f0ae5a.jpg,A boy with a toy gun .,7,boy with toy gun .
109671650_f7bbc297fa.jpg,Child stands near edge of cliff .,7,child stands near edge of cliff .
109738763_90541ef30d.jpg,A snowmobiler flies through the air .,7,snowmobiler flies through the air .
109738916_236dc456ac.jpg,Three people and two snowmobiles .,6,three people and two snowmobiles .
109823394_83fcb735e1.jpg,Three people drive ATVs .,5,three people drive atvs .
109823395_6fb423a90f.jpg,Man jumping with all terrain vehicle,6,man jumping with all terrain vehicle .
109823397_e35154645f.jpg,Man on four wheeler in the air .,8,man on four wheeler in the air .
1100214449_d10861e633.jpg,A happy boy is jumping in front OD city fountain .,11,happy boy is jumping in front od city fountain .
1104133405_c04a00707f.jpg,A boy carrying a soccer ball .,7,boy carrying soccer ball .
1105959054_9c3a738096.jpg,A child painting a picture .,6,child painting picture .
110595925_f3395c8bd6.jpg,The biker is riding around a curve in the road .,11,the biker is riding around curve in the road .
1107246521_d16a476380.jpg,a black dog jumping to catch a rope toy,9,black dog jumping to catch rope toy .
1107471216_4336c9b328.jpg,There is a kid with a gun .,8,there is kid with gun .
1110208841_5bb6806afe.jpg,"A dog jumps to catch a Frisbee , while many people watch .",13,"dog jumps to catch frisbee , while many people watch ."
1112212364_0c48235fc2.jpg,A small boy is playing with rocks,7,small boy is playing with rocks .
111497985_38e9f88856.jpg,A young man climbs a rocky hill .,8,young man climbs rocky hill .
111537217_082a4ba060.jpg,A man climbing a rock wall,6,man climbing rock wall .
111537222_07e56d5a30.jpg,A man climbs a rocky wall .,7,man climbs rocky wall .
1115565519_d976d4b1f1.jpg,A child plays with a fountain .,7,child plays with fountain .
1115679311_245eff2f4b.jpg,A dog is running on the beach .,8,dog is running on the beach .
111766423_4522d36e56.jpg,A black and white bird standing on a hand .,10,black and white bird standing on hand .
1117972841_2b9261f95f.jpg,A brown dog playing in the sand .,8,brown dog playing in the sand .
1118557877_736f339752.jpg,A young child splashing in water .,7,young child splashing in water .
1119015538_e8e796281e.jpg,A playful dog is running through the grass .,9,playful dog is running through the grass .
1119418776_58e4b93eac.jpg,A dog running in a field .,7,dog running in field .
1119463452_69d4eecd08.jpg,A girl swimming in a pool .,7,girl swimming in pool .
1121416483_c7902d0d49.jpg,A child is standing on her head .,8,child is standing on her head .
112178718_87270d9b4d.jpg,A man holds a surfboard on the beach .,9,man holds surfboard on the beach .
112243673_fd68255217.jpg,Three people are riding around on ATV 's and motorcycles .,11,three people are riding around on atv 's and motorcycles .
1122944218_8eb3607403.jpg,Baby in white outfit holding black and white flag .,10,baby in white outfit holding black and white flag .
1124448967_2221af8dc5.jpg,Man relaxing in a folding chair on the street .,10,man relaxing in folding chair on the street .
1129704496_4a61441f2c.jpg,Two dogs in the ocean playing with a toy,9,two dogs in the ocean playing with toy .
1130017585_1a219257ac.jpg,The young people party in the streets .,8,the young people party in the streets .
1130369873_d80a1aa59c.jpg,A brown dog is running through neck-deep water carrying a tennis ball .,13,brown dog is running through neck-deep water carrying tennis ball .
1130401779_8c30182e3e.jpg,Two brown dogs in the water .,7,two brown dogs in the water .
1131155939_b4b457b05e.jpg,A dog is running in the waves at the beach .,11,dog is running in the waves at the beach .
1131340021_83f46b150a.jpg,A young boy runs while wearing sandals .,8,young boy runs while wearing sandals .
1131800850_89c7ffd477.jpg,A dog is looking at something near the water .,10,dog is looking at something near the water .
1131804997_177c3c0640.jpg,Two older men with backpacks sit at a bus station .,11,two older men with backpacks sit at bus station .
1131932671_c8d17751b3.jpg,A boy is jumping on a bed .,8,boy is jumping on bed .
1132772170_600610c5df.jpg,Man standing in the bedroom with little boy jumping into bed .,12,man standing in the bedroom with little boy jumping into bed .
113678030_87a6a6e42e.jpg,The snowboarder is sitting down .,6,the snowboarder is sitting down .
1138784872_69ade3f2ab.jpg,A small child walks down a sidewalk .,8,small child walks down sidewalk .
114051287_dd85625a04.jpg,A boy in glasses is wearing a red shirt .,10,boy in glasses is wearing red shirt .
1141718391_24164bf1b1.jpg,A man and a woman are walking across a rope bridge .,12,man and woman are walking across rope bridge .
1141739219_2c47195e4c.jpg,A family gathered at a painted van,7,family gathered at painted van .
1142283988_6b227c5231.jpg,"Blond embracing young man in pink costume , at event",10,"blond embracing young man in pink costume , at event ."
1142847777_2a0c1c2551.jpg,A bicyclist riding on a city street .,8,bicyclist riding on city street .
1143373711_2e90b7b799.jpg,A bicycle rider is crossing a street .,8,bicycle rider is crossing street .
1143882946_1898d2eeb9.jpg,A lady wearing a helmet holding a bike .,9,lady wearing helmet holding bike .
1144288288_e5c9558b6a.jpg,A woman walks on a street wearing headphones .,9,woman walks on street wearing headphones .
1148238960_f8cacec2fc.jpg,Bicyclists waiting at an intersection .,6,bicyclists waiting at an intersection .
1149179852_acad4d7300.jpg,Shirtless man leading a small horse-drawn covered wagon down a road,11,shirtless man leading small horse-drawn covered wagon down road .
114949897_490ca7eaec.jpg,Three people put up a batting cage .,8,three people put up batting cage .
1151466868_3bc4d9580b.jpg,A young girl plays in shallow water .,8,young girl plays in shallow water .
1153704539_542f7aa3a5.jpg,Girl playing the trumpet in a marching band,8,girl playing the trumpet in marching band .
1155138244_859fd6e079.jpg,a Starbucks barista offering up a tray of drinks,9,starbucks barista offering up tray of drinks .
115684808_cb01227802.jpg,Three people and a sled .,6,three people and sled .
1159574340_99ba8c3c59.jpg,Little boy in sneakers jumping into water .,8,little boy in sneakers jumping into water .
1160034462_16b38174fe.jpg,a elderly man sits alone on a park bench .,10,elderly man sits alone on park bench .
1160441615_fe6b3c5277.jpg,Three girls walking along an arched garden pathway .,9,three girls walking along an arched garden pathway .
1163282319_b729b24c46.jpg,The little girl sits on top of a rock .,10,the little girl sits on top of rock .
116409198_0fe0c94f3b.jpg,A man eats near a tent in the snow .,10,man eats near tent in the snow .
1164131282_b30926f332.jpg,Two dogs wrestle in a field .,7,two dogs wrestle in field .
1164765687_7aca07bbe7.jpg,A man is playing tug of war with his dog .,11,man is playing tug of war with his dog .
1167662968_e466f1e80a.jpg,A guy with a nose piercing .,7,guy with nose piercing .
1167669558_87a8a467d6.jpg,A man in yellow grimaces .,6,man in yellow grimaces .
1167908324_8caab45e15.jpg,A man stands next to three video machines .,9,man stands next to three video machines .
1169307342_e7a4685a5c.jpg,Two brown dogs run side by side .,8,two brown dogs run side by side .
1174525839_7c1e6cfa86.jpg,The girl is running into the ocean from the shore .,11,the girl is running into the ocean from the shore .
1174629344_a2e1a2bdbf.jpg,Busy intersection in the summer time in a city,9,busy intersection in the summer time in city .
1176580356_9810d877bf.jpg,A big dog catches a ball on his nose,9,big dog catches ball on his nose .
1177994172_10d143cb8d.jpg,Two boys spraying each other with water,7,two boys spraying each other with water .
1178705300_c224d9a4f1.jpg,A dog jumps into a backyard pool .,8,dog jumps into backyard pool .
118187095_d422383c81.jpg,Two children ride in toy cars .,7,two children ride in toy cars .
118309463_a532b75be9.jpg,Children sporting their Florida Dolphin caps .,7,children sporting their florida dolphin caps .
1184967930_9e29ce380d.jpg,A dog in a field .,6,dog in field .
1187435567_18173c148b.jpg,A small brown and black dog,6,small brown and black dog .
1187593464_ce862352c6.jpg,A dog running with a stick in his mouth,9,dog running with stick in his mouth .
1189977786_4f5aaed773.jpg,A dog jumping into a swimming pool .,8,dog jumping into swimming pool .
1191338263_a4fa073154.jpg,A woman sits in a subway station .,8,woman sits in subway station .
1193116658_c0161c35b5.jpg,A girl rides a unicycle with a child who rides a scooter .,13,girl rides unicycle with child who rides scooter .
119534510_d52b3781a3.jpg,Person sitting on concrete landing next to body of water,10,person sitting on concrete landing next to body of water .
1197800988_7fb0ca4888.jpg,People eat under green trees .,6,people eat under green trees .
1198194316_543cc7b945.jpg,a couple walking along on a sidewalk,7,couple walking along on sidewalk .
1204996216_71d7519d9a.jpg,A boy lays on a picnic table bench .,9,boy lays on picnic table bench .
1206506157_c7956accd5.jpg,Dogs fight in grass over toy .,7,dogs fight in grass over toy .
1207159468_425b902bfb.jpg,A boy stands near a structure outside .,8,boy stands near structure outside .
1211015912_9f3ee3a995.jpg,Children at a park .,5,children at park .
1213336750_2269b51397.jpg,A young man taking a picture of another young man outdoors,11,young man taking picture of another young man outdoors .
1215334959_b1970965f7.jpg,Taking a break while vacationing at the beach,8,taking break while vacationing at the beach .
121800200_bef08fae5f.jpg,People at a distance trying to climb a cliff .,10,people at distance trying to climb cliff .
121971540_0a986ee176.jpg,Two men on the side of a barge,8,two men on the side of barge .
1220401002_3f44b1f3f7.jpg,Two young girls playing together .,6,two young girls playing together .
1222322358_225067636e.jpg,A litlle boy playing on a swing,7,litlle boy playing on swing .
1224851143_33bcdd299c.jpg,A boy eats with a spoon .,7,boy eats with spoon .
1225443522_1633e7121f.jpg,A woman walking down a brick sidewalk .,8,woman walking down brick sidewalk .
1227655020_b11a1bb112.jpg,Two dogs play in tall grass .,7,two dogs play in tall grass .
1229756013_94663527d7.jpg,A brown dog leaping to catch a ball .,9,brown dog leaping to catch ball .
1231229740_8dcbf80bfb.jpg,A sleeping child sucking on a pacifier .,8,sleeping child sucking on pacifier .
1232148178_4f45cc3284.jpg,A baby girl playing at a park .,8,baby girl playing at park .
1234293791_6566284bcd.jpg,A girl rides a horse .,6,girl rides horse .
1234817607_924893f6e1.jpg,a Korean man sells soda .,6,korean man sells soda .
1235580648_7eebaed9bc.jpg,The hatted males pose for a picture .,8,the hatted males pose for picture .
1235681222_819231767a.jpg,People sit on benches .,5,people sit on benches .
1235685934_be89b231fb.jpg,A man in sunglasses on an overpass .,8,man in sunglasses on an overpass .
1236951314_0308dc4138.jpg,A boy with goggles jumping into a pool containing a man .,12,boy with goggles jumping into pool containing man .
1236964638_1808784a3c.jpg,A child is diving into a pool .,8,child is diving into pool .
1237985362_dbafc59280.jpg,A lady holds a little girl who is trying to catch bubbles .,13,lady holds little girl who is trying to catch bubbles .
123889082_d3751e0350.jpg,Brown dog biting a grey dogs ear .,8,brown dog biting grey dogs ear .
123997871_6a9ca987b1.jpg,Women play lacrosse .,4,women play lacrosse .
1240297429_c36ae0c58f.jpg,A dog is leaping through the grass .,8,dog is leaping through the grass .
124195430_d14028660f.jpg,A brown horse and a black foal on the beach,10,brown horse and black foal on the beach .
1244140539_da4804d828.jpg,A small dog is sitting on white carpet .,9,small dog is sitting on white carpet .
1244306891_8e78ae1620.jpg,A group of young ladies in bikinis .,8,group of young ladies in bikinis .
1244485675_822e6efe60.jpg,A boy looking at his reflection .,7,boy looking at his reflection .
1245022983_fb329886dd.jpg,A small girl wearing pink dances on the sidewalk .,10,small girl wearing pink dances on the sidewalk .
1247181182_35cabd76f3.jpg,a man sits on a rock .,7,man sits on rock .
1248357227_2b4175fc39.jpg,The kids play in the wooded area near the water .,11,the kids play in the wooded area near the water .
1248734482_3038218f3b.jpg,Girl in pink shirt with white writing lying in grass .,11,girl in pink shirt with white writing lying in grass .
124881487_36e668145d.jpg,Blurry picture of mountain biker descending rocky trail .,9,blurry picture of mountain biker descending rocky trail .
1248940539_46d33ed487.jpg,Three children playing in sand at beach,7,three children playing in sand at beach .
1248953128_24c9f8d924.jpg,Girls in brightly-colred clothes plays with a blue ball .,10,girls in brightly-colred clothes plays with blue ball .
124972799_de706b6d0b.jpg,A snarling dog approaches a hissing cat .,8,snarling dog approaches hissing cat .
1251558317_4ef844b775.jpg,A woman and boy sit on a police motorcycle .,10,woman and boy sit on police motorcycle .
1252396628_eb81d3905b.jpg,A man riding a dirt bike up a muddy hill .,11,man riding dirt bike up muddy hill .
1252787177_4b08625897.jpg,Three pairs of granny panties hanging on a line .,10,three pairs of granny panties hanging on line .
125319704_49ead3463c.jpg,Person standing beside bike in stream .,7,person standing beside bike in stream .
1253264731_e7c689eca5.jpg,Children playing in stopped motion,5,children playing in stopped motion .
1253275679_e955fb7304.jpg,Young boy wearing an AC t-shirt looking down .,9,young boy wearing an ac t-shirt looking down .
1255504166_f2437febcb.jpg,A boy playing in a lake,6,boy playing in lake .
1258913059_07c613f7ff.jpg,Three people sit at an outdoor cafe .,8,three people sit at an outdoor cafe .
1259936608_e3f0064f23.jpg,Children playing in public waterspouts .,6,children playing in public waterspouts .
1260816604_570fc35836.jpg,A person drives in a red car .,8,person drives in red car .
1262077938_8b9516c273.jpg,A girl with a black purse sitting on a wooden bench .,12,girl with black purse sitting on wooden bench .
1262454669_f1caafec2d.jpg,Woman sitting on bench and holding the leash of a large white and brown dog .,16,woman sitting on bench and holding the leash of large white and brown dog .
1262583859_653f1469a9.jpg,a biker enjoys a coffee .,6,biker enjoys coffee .
1263126002_881ebd7ac9.jpg,A toddler is in a green playpen .,8,toddler is in green playpen .
1263801010_5c74bf1715.jpg,View from the summit,4,view from the summit .
1267711451_e2a754b4f8.jpg,A black and white dog carrying a large stick,9,black and white dog carrying large stick .
1269470943_ba7fc49b4d.jpg,The boy is on the ground next to the football .,11,the boy is on the ground next to the football .
1271210445_7f7ecf3791.jpg,Smiling children gathered around a birthday cake,7,smiling children gathered around birthday cake .
1271960365_e54033f883.jpg,Two black dogs running,4,two black dogs running .
1273001772_1585562051.jpg,Children and adults play with a sprinkler .,8,children and adults play with sprinkler .
127450902_533ceeddfc.jpg,The sun is almost behind the snowy mountains .,9,the sun is almost behind the snowy mountains .
127488876_f2d2a89588.jpg,Two men looking into the distance on a golf course .,11,two men looking into the distance on golf course .
127490019_7c5c08cb11.jpg,A woman wearing blue begins a golf swing .,9,woman wearing blue begins golf swing .
1277185009_06478dd457.jpg,A shirtless man with a backpack .,7,shirtless man with backpack .
1277743944_f4e8c78403.jpg,A boy in a red sweater running on the beach,10,boy in red sweater running on the beach .
1280147517_98767ca3b3.jpg,A waterskier performs tricks .,5,waterskier performs tricks .
1280320287_b2a4b9b7bd.jpg,Two boys wakeboard .,4,two boys wakeboard .
1282392036_5a0328eb86.jpg,People in costume at a renaissance fair .,8,people in costume at renaissance fair .
12830823_87d2654e31.jpg,people stare at the orange fish .,7,people stare at the orange fish .
1285067106_2adc307240.jpg,Little leaguer getting ready for pitch,6,little leaguer getting ready for pitch .
1285874746_486731a954.jpg,a african-american woman stands in the crowd .,8,african-american woman stands in the crowd .
1286408831_05282582ed.jpg,The boy is climbing .,5,the boy is climbing .
1287064529_aa4e4f3c31.jpg,A black and tan dog in the snow,8,black and tan dog in the snow .
1287073593_f3d2a62455.jpg,Dogsled rider pulled past flags on snowy hill .,9,dogsled rider pulled past flags on snowy hill .
1287475186_2dee85f1a5.jpg,A boy sitting in water .,6,boy sitting in water .
1287920676_d21a0b289b.jpg,A snow dog in a red harness .,8,snow dog in red harness .
1287931016_fb015e2e10.jpg,Two dogs standing in the snow .,7,two dogs standing in the snow .
1287982439_6578006e22.jpg,A dog with a collar running through the water,9,dog with collar running through the water .
1288909046_d2b2b62607.jpg,A brown dog leaps into a swimming pool .,9,brown dog leaps into swimming pool .
128912885_8350d277a4.jpg,The dog is playing with a red ball .,9,the dog is playing with red ball .
1289142574_2bd6a082dd.jpg,A boy jumps from one picnic table to another .,10,boy jumps from one picnic table to another .
1290894194_8a4ffdc7eb.jpg,A woman showing a small dog to an infant,9,woman showing small dog to an infant .
1294578091_2ad02fea91.jpg,A woman writing on a notepad near a portrait outdoors,10,woman writing on notepad near portrait outdoors .
1295669416_21cabf594d.jpg,A woman in semi-formal attire is sitting on a concrete wall .,12,woman in semi-formal attire is sitting on concrete wall .
1295671216_cde1b9c9d1.jpg,A man in a blue sweatshirt taking a picture,9,man in blue sweatshirt taking picture .
1295698260_e10c53c137.jpg,The man is taking a picture while the crowd gathers .,11,the man is taking picture while the crowd gathers .
129599450_cab4e77343.jpg,A hiker carring an American flag .,7,hiker carring an american flag .
1296412797_85b6d2f8d6.jpg,A child is sprawled underneath a blanket in midair .,10,child is sprawled underneath blanket in midair .
1296770308_3db2022f5a.jpg,Dark nightclub with chairs .,5,dark nightclub with chairs .
1298295313_db1f4c6522.jpg,A boy diving backward off a pier in a large lake .,12,boy diving backward off pier in large lake .
1298866571_b4c496b71c.jpg,A young Asian man is looking at his cellphone .,10,young asian man is looking at his cellphone .
1299459550_1fd5594fa2.jpg,A boy in swimming trunks .,6,boy in swimming trunks .
1299459562_ed0e064aee.jpg,Three boys playing in some water .,7,three boys playing in some water .
1301140633_046e4e8010.jpg,A boy with a dirty face smiles .,8,boy with dirty face smiles .
130211457_be3f6b335d.jpg,Two woman posing with a guy .,7,two woman posing with guy .
1302657647_46b36c0d66.jpg,A man hanging from bars outdoors,6,man hanging from bars outdoors .
1303335399_b3facd47ab.jpg,A little boy has gown down an orange slide .,10,little boy has gown down an orange slide .
1303548017_47de590273.jpg,A girl poses on the train tracks near a station,10,girl poses on the train tracks near station .
1303550623_cb43ac044a.jpg,a girl stands in the train tracks .,8,girl stands in the train tracks .
1303727066_23d0f6ed43.jpg,A man wearing a peace sign on his shirt smiles .,11,man wearing peace sign on his shirt smiles .
1303727828_d1052ee341.jpg,A person wears a headdress and sunglasses .,8,person wears headdress and sunglasses .
1304100320_c8990a1539.jpg,Two dogs bound over a flower-covered hill .,8,two dogs bound over flower-covered hill .
1304961697_76b86b0c18.jpg,Two children on surfboards wave to each other .,9,two children on surfboards wave to each other .
1305564994_00513f9a5b.jpg,Two people in racing uniforms in a street car .,10,two people in racing uniforms in street car .
1306145560_1e37081b91.jpg,A black dog swims in the water .,8,black dog swims in the water .
1307635496_94442dc21a.jpg,A child runs through a field .,7,child runs through field .
1308472581_9961782889.jpg,A laughing girl holding a bucket splashes in the ocean,10,laughing girl holding bucket splashes in the ocean .
1308617539_54e1a3dfbe.jpg,A boy splashing through the ocean .,7,boy splashing through the ocean .
1309330801_aeeb23f1ee.jpg,The children are playing on the trampoline .,8,the children are playing on the trampoline .
1311132744_5ffd03f831.jpg,A black dog with a red collar runs through grass .,11,black dog with red collar runs through grass .
1311388430_4ab0cd1a1f.jpg,Person hanging upside down from poles,6,person hanging upside down from poles .
1312020846_5abb4a9be2.jpg,Two puppies walking on stones .,6,two puppies walking on stones .
1312227131_771b5ed201.jpg,Two dogs walk through the snow .,7,two dogs walk through the snow .
1312954382_cf6d70d63a.jpg,A girl in a green dress plays with a Hello Kitty balloon .,13,girl in green dress plays with hello kitty balloon .
1313693129_71d0b21c63.jpg,Two people stand by the water 's edge .,9,two people stand by the water 's edge .
1313961775_824b87d155.jpg,A girl floating wearing a life vest .,8,girl floating wearing life vest .
1316247213_1d2c726dd5.jpg,A closeup of a little girl laughing .,8,closeup of little girl laughing .
131632409_4de0d4e710.jpg,Woman in a bikini top is walking on the beach,10,woman in bikini top is walking on the beach .
1317292658_ba29330a0b.jpg,a boy enjoys a rain shower .,7,boy enjoys rain shower .
1319634306_816f21677f.jpg,A brown dog sits still on a hillside .,9,brown dog sits still on hillside .
1321723162_9d4c78b8af.jpg,Two girls are ice skating with each other .,9,two girls are ice skating with each other .
1321949151_77b77b4617.jpg,Two children and some adults are sitting on a row of black couches .,14,two children and some adults are sitting on row of black couches .
1322323208_c7ecb742c6.jpg,A boy and a girl playing on the beach .,10,boy and girl playing on the beach .
1324816249_86600a6759.jpg,A golden retriever walking through high grass .,8,golden retriever walking through high grass .
132489044_3be606baf7.jpg,A man who has fallen asleep on public transportation .,10,man who has fallen asleep on public transportation .
1329832826_432538d331.jpg,People stand outside of the Rite Aid pharmacy on Broadway .,11,people stand outside of the rite aid pharmacy on broadway .
1330645772_24f831ff8f.jpg,A dog runs in a field .,7,dog runs in field .
133189853_811de6ab2a.jpg,A man with a shaved head is kissing another man on the cheek .,14,man with shaved head is kissing another man on the cheek .
1332208215_fa824f6659.jpg,People on a subway .,5,people on subway .
1332492622_8c66992b62.jpg,People walking in brightly-colored building .,6,people walking in brightly-colored building .
1332722096_1e3de8ae70.jpg,Three women walk down the street .,7,three women walk down the street .
